Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
98	98	U1_201211_098	20190528_S_1-GLY	4.23	16183
99	99	U1_201211_099	20190528_S_2-GLY	4.24	15729
100	100	U1_201211_100	20190528_S_3-GLY	4.23	16546
101	101	U1_201211_101	20190528_S_4-GLY	4.24	15444
102	102	U1_201211_102	20190528_S_5-GLY	4.23	15835
103	103	U1_201211_103	20190528_S_6-GLY	4.23	15411
104	104	U1_201211_104	20190528_S_7-GLY	4.23	15202
105	105	U1_201211_105	20190528_S_8_12-GLY	4.23	15588
106	106	U1_201211_106	Blank	3.84	19
107	107	U1_201211_107	Sta 0.1 µg/ml	4.23	17531
108	108	U1_201211_108	Blank	3.69	5
109	109	U1_201211_109	20190818_S_1-GLY	4.23	15738
110	110	U1_201211_110	20190818_S_2-GLY	4.23	16067
